gameName,releaseTime,price,titleURL,applyId
Back 4 Blood,"12 Oct, 2021",S$69.90S$48.93,https://store.steampowered.com/app/924970/Back_4_Blood/?snr=1_7_7_7000_150_1,924970
FIFA 22,"30 Sep, 2021",S$69.90S$41.94,https://store.steampowered.com/app/1506830/FIFA_22/?snr=1_7_7_7000_150_1,1506830
FIFA 22,"30 Sep, 2021",S$69.90S$41.94,https://store.steampowered.com/app/1506830/FIFA_22/?snr=1_7_7_7000_150_1,1506830
Battlefield™ 2042,"19 Nov, 2021",S$69.90,https://store.steampowered.com/app/1517290/Battlefield_2042/?snr=1_7_7_7000_150_1,1517290
DEATH STRANDING,"14 Jul, 2020",S$79.90S$23.97,https://store.steampowered.com/sub/489555/?snr=1_7_7_7000_150_1,489555
Halo Infinite (Campaign),"Dec, 8 2021",S$79.90,https://store.steampowered.com/app/1708091/Halo_Infinite_Campaign/?snr=1_7_7_7000_150_1,1708091
Football Manager 2022,"8 Nov, 2021",S$59.00,https://store.steampowered.com/app/1569040/Football_Manager_2022/?snr=1_7_7_7000_150_1,1569040
Forza Horizon 5,"8 Nov, 2021",S$79.90,https://store.steampowered.com/app/1551360/Forza_Horizon_5/?snr=1_7_7_7000_150_1,1551360
Back 4 Blood,"12 Oct, 2021",S$69.90S$48.93,https://store.steampowered.com/app/924970/Back_4_Blood/?snr=1_7_7_7000_150_1,924970
Myth of Empires,"18 Nov, 2021",S$26.00S$23.40,https://store.steampowered.com/app/1371580/Myth_of_Empires/?snr=1_7_7_7000_150_1,1371580
Halo: The Master Chief Collection,"3 Dec, 2019",S$49.99,https://store.steampowered.com/sub/376282/?snr=1_7_7_7000_150_1,376282
Battlefield™ 2042,"19 Nov, 2021",S$69.90,https://store.steampowered.com/app/1517290/Battlefield_2042/?snr=1_7_7_7000_150_1,1517290
F1® 2021,"15 Jul, 2021",S$69.90,https://store.steampowered.com/app/1134570/F1_2021/?snr=1_7_7_7000_150_1,1134570
Destiny 2: The Witch Queen Deluxe + Bungie 30th Anniversary Bundle,"22 Feb, 2022",S$119.90,https://store.steampowered.com/app/1656360/Destiny_2_The_Witch_Queen_Deluxe__Bungie_30th_Anniversary_Bundle/?snr=1_7_7_7000_150_1,1656360
Terraria,"16 May, 2011",S$10.50S$5.25,https://store.steampowered.com/app/105600/Terraria/?snr=1_7_7_7000_150_1,105600
Satisfactory,"8 Jun, 2020",S$26.00S$18.20,https://store.steampowered.com/app/526870/Satisfactory/?snr=1_7_7_7000_150_1,526870
Phasmophobia,"18 Sep, 2020",S$14.00,https://store.steampowered.com/app/739630/Phasmophobia/?snr=1_7_7_7000_150_1,739630
Ruined King: A League of Legends Story™,"16 Nov, 2021",S$39.00,https://store.steampowered.com/app/1276790/Ruined_King_A_League_of_Legends_Story/?snr=1_7_7_7000_150_1,1276790
Gunfire Reborn,"22 May, 2020",S$18.50S$13.87,https://store.steampowered.com/app/1217060/Gunfire_Reborn/?snr=1_7_7_7000_150_1,1217060
Battlefield™ 2042,"19 Nov, 2021",S$69.90,https://store.steampowered.com/app/1517290/Battlefield_2042/?snr=1_7_7_7000_150_1,1517290
Age of Empires IV,"28 Oct, 2021",S$79.90,https://store.steampowered.com/app/1466860/Age_of_Empires_IV/?snr=1_7_7_7000_150_1,1466860
Insurgency: Sandstorm,"12 Dec, 2018",S$34.90S$17.45,https://store.steampowered.com/app/581320/Insurgency_Sandstorm/?snr=1_7_7_7000_150_1,581320
Destiny 2: Beyond Light Deluxe Edition,"10 Nov, 2020",S$94.49,https://store.steampowered.com/app/1314561/Destiny_2_Beyond_Light_Deluxe_Edition/?snr=1_7_7_7000_150_1,1314561
EA Play,"31 Aug, 2020",S$6.45,https://store.steampowered.com/app/1289670/EA_Play/?snr=1_7_7_7000_150_1,1289670
Atelier Ryza: Ever Darkness & the Secret Hideout,"28 Oct, 2019",S$89.20,https://store.steampowered.com/app/1121560/Atelier_Ryza_Ever_Darkness__the_Secret_Hideout/?snr=1_7_7_7000_150_1,1121560
Need for Speed™ Heat,"4 Jun, 2020",S$84.90,https://store.steampowered.com/app/1222680/Need_for_Speed_Heat/?snr=1_7_7_7000_150_1,1222680
Cities: Skylines - Community Content Bundle,,S$25.60,https://store.steampowered.com/bundle/13651/Cities_Skylines__Community_Content_Bundle/?snr=1_7_7_7000_150_1,13651
NARUTO SHIPPUDEN: Ultimate Ninja STORM Legacy,,S$87.83,https://store.steampowered.com/bundle/4308/NARUTO_SHIPPUDEN_Ultimate_Ninja_STORM_Legacy/?snr=1_7_7_7000_150_1,4308
DEATHLOOP,"13 Sep, 2021",S$87.00,https://store.steampowered.com/app/1252330/DEATHLOOP/?snr=1_7_7_7000_150_1,1252330
Cities: Skylines - Campus Plus Edition,,S$20.59,https://store.steampowered.com/bundle/11035/Cities_Skylines__Campus_Plus_Edition/?snr=1_7_7_7000_150_1,11035
Monster Hunter: World,"9 Aug, 2018",S$41.00,https://store.steampowered.com/app/582010/Monster_Hunter_World/?snr=1_7_7_7000_150_1,582010
ELDEN RING,"24 Feb, 2022",S$79.90,https://store.steampowered.com/app/1245620/ELDEN_RING/?snr=1_7_7_7000_150_1,1245620
ELDEN RING,"24 Feb, 2022",S$79.90,https://store.steampowered.com/app/1245620/ELDEN_RING/?snr=1_7_7_7000_150_1,1245620
Don't Starve Together,"21 Apr, 2016",S$14.50S$4.93,https://store.steampowered.com/app/322330/Dont_Starve_Together/?snr=1_7_7_7000_150_1,322330
Tales of Arise,"9 Sep, 2021",S$79.90,https://store.steampowered.com/app/740130/Tales_of_Arise/?snr=1_7_7_7000_150_1,740130
FIFA 22,"30 Sep, 2021",S$69.90S$41.94,https://store.steampowered.com/app/1506830/FIFA_22/?snr=1_7_7_7000_150_1,1506830
FIFA 22,"30 Sep, 2021",S$69.90S$41.94,https://store.steampowered.com/app/1506830/FIFA_22/?snr=1_7_7_7000_150_1,1506830
OUTRIDERS,"1 Apr, 2021",S$82.50S$27.22,https://store.steampowered.com/app/680420/OUTRIDERS/?snr=1_7_7_7000_150_1,680420
Jurassic World Evolution 2,"9 Nov, 2021",S$54.00,https://store.steampowered.com/app/1244460/Jurassic_World_Evolution_2/?snr=1_7_7_7000_150_1,1244460
The Sims™ 4 Deluxe + Seasons Bundle,,S$70.48,https://store.steampowered.com/bundle/16525/The_Sims_4_Deluxe__Seasons_Bundle/?snr=1_7_7_7000_150_1,16525
The Forest,"30 Apr, 2018",S$18.50,https://store.steampowered.com/app/242760/The_Forest/?snr=1_7_7_7000_150_1,242760
Microsoft Flight Simulator Game of the Year Edition,"17 Apr, 2020",S$74.90,https://store.steampowered.com/app/1250410/Microsoft_Flight_Simulator_Game_of_the_Year_Edition/?snr=1_7_7_7000_150_1,1250410
Inscryption,"19 Oct, 2021",S$22.50,https://store.steampowered.com/app/1092790/Inscryption/?snr=1_7_7_7000_150_1,1092790
CS:GO Prime Status Upgrade,"21 Aug, 2012",S$19.95,https://store.steampowered.com/sub/54029/?snr=1_7_7_7000_150_1,54029
New World,"28 Sep, 2021",S$49.00,https://store.steampowered.com/app/1063730/New_World/?snr=1_7_7_7000_150_1,1063730
Life is Strange: True Colors Deluxe Edition,,S$99.90S$61.68,https://store.steampowered.com/bundle/18801/Life_is_Strange_True_Colors_Deluxe_Edition/?snr=1_7_7_7000_150_1,18801
STAR WARS™: The Old Republic™  - Subscriptions,"21 Jul, 2020",S$22.00,https://store.steampowered.com/app/1333220/STAR_WARS_The_Old_Republic___Subscriptions/?snr=1_7_7_7000_150_1,1333220
It Takes Two,"25 Mar, 2021",S$49.90,https://store.steampowered.com/app/1426210/It_Takes_Two/?snr=1_7_7_7000_150_1,1426210
New World,"28 Sep, 2021",S$49.00,https://store.steampowered.com/app/1063730/New_World/?snr=1_7_7_7000_150_1,1063730
The Elder Scrolls V: Skyrim Special Edition,"27 Oct, 2016",S$54.99,https://store.steampowered.com/app/489830/The_Elder_Scrolls_V_Skyrim_Special_Edition/?snr=1_7_7_7000_150_1,489830
